Locus,Isolate,Subspecies_Friis,Latitude,Longitude,Index,Row Names,
KX461547,OR12-216,oreganus,53.45359,-130.149869,30,"gi|1109547613|gb|KX461547.1| Junco hyemalis isolate OR12-216 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461548,OR12-217,oreganus,53.45359,-130.149869,31,"gi|1109547615|gb|KX461548.1| Junco hyemalis isolate OR12-217 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461549,OR12-219,oreganus,53.45359,-130.149869,32,"gi|1109547617|gb|KX461549.1| Junco hyemalis isolate OR12-219 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461550,OR12-220,oreganus,53.45359,-130.149869,33,"gi|1109547619|gb|KX461550.1| Junco hyemalis isolate OR12-220 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461551,OR12-222,oreganus,53.45359,-130.149869,34,"gi|1109547621|gb|KX461551.1| Junco hyemalis isolate OR12-222 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461552,OR12-226,oreganus,53.45359,-130.149869,35,"gi|1109547623|gb|KX461552.1| Junco hyemalis isolate OR12-226 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461553,SC12-116,hyemalis,37.375136,-80.522747,36,"gi|1109547625|gb|KX461553.1| Junco hyemalis isolate SC12-116 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461554,SC12-117,hyemalis,37.375136,-80.522747,37,"gi|1109547627|gb|KX461554.1| Junco hyemalis isolate SC12-117 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461555,SC12-118,hyemalis,37.375136,-80.522747,38,"gi|1109547629|gb|KX461555.1| Junco hyemalis isolate SC12-118 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461556,SC12-120,hyemalis,37.375136,-80.522747,39,"gi|1109547631|gb|KX461556.1| Junco hyemalis isolate SC12-120 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461557,SC12-122,hyemalis,37.375136,-80.522747,40,"gi|1109547633|gb|KX461557.1| Junco hyemalis isolate SC12-122 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461558,SC12-123,hyemalis,37.375136,-80.522747,41,"gi|1109547635|gb|KX461558.1| Junco hyemalis isolate SC12-123 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461559,SC12-124,hyemalis,37.375136,-80.522747,42,"gi|1109547637|gb|KX461559.1| Junco hyemalis isolate SC12-124 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461560,SC12-127,hyemalis,37.375136,-80.522747,43,"gi|1109547639|gb|KX461560.1| Junco hyemalis isolate SC12-127 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461561,SC12-128,hyemalis,37.375136,-80.522747,44,"gi|1109547641|gb|KX461561.1| Junco hyemalis isolate SC12-128 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461562,SC12-129,hyemalis,37.375136,-80.522747,45,"gi|1109547643|gb|KX461562.1| Junco hyemalis isolate SC12-129 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461563,SC12-130,hyemalis,37.375136,-80.522747,46,"gi|1109547645|gb|KX461563.1| Junco hyemalis isolate SC12-130 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461564,SC12-131,hyemalis,37.375136,-80.522747,47,"gi|1109547647|gb|KX461564.1| Junco hyemalis isolate SC12-131 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461565,SC12-133,hyemalis,37.375136,-80.522747,48,"gi|1109547649|gb|KX461565.1| Junco hyemalis isolate SC12-133 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461566,SC12-134,hyemalis,37.375136,-80.522747,49,"gi|1109547651|gb|KX461566.1| Junco hyemalis isolate SC12-134 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461567,SC12-135,hyemalis,37.375136,-80.522747,50,"gi|1109547653|gb|KX461567.1| Junco hyemalis isolate SC12-135 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
KX461568,SC12-136,hyemalis,37.375136,-80.522747,51,"gi|1109547655|gb|KX461568.1| Junco hyemalis isolate SC12-136 beta-fibrinogen (FGB) gene, intron 5 and partial cds",subspecies elucidated from Friis paper
