Locus,Isolate,Subspecies_Friis,Latitude,Longitude,Index,Row Names
HM033503,,hyemalis,55.399,-123.208,27,"gi|294513658|gb|HM033503.1| Junco hyemalis voucher BIOUG<CAN_:MKNO 2400 02235 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033504,,hyemalis,55.399,-123.208,28,"gi|294513660|gb|HM033504.1| Junco hyemalis voucher BIOUG<CAN_:MKNO 2400 02061 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033505,,hyemalis,55.399,-123.208,29,"gi|294513662|gb|HM033505.1| Junco hyemalis voucher BIOUG<CAN_:MKNO 2400 02030 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033506,,hyemalis,55.399,-123.208,30,"gi|294513664|gb|HM033506.1| Junco hyemalis voucher BIOUG<CAN_:MKNO 2400 02022 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033507,,hyemalis,55.399,-123.208,31,"gi|294513666|gb|HM033507.1| Junco hyemalis voucher BIOUG<CAN_:MKNO 2400 01766 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033508,,hyemalis,55.399,-123.208,32,"gi|294513668|gb|HM033508.1| Junco hyemalis voucher BIOUG<CAN_:MKNO 2400 02399 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033509,,hyemalis,55.399,-123.208,33,"gi|294513670|gb|HM033509.1| Junco hyemalis voucher BIOUG<CAN_:MKNO 2400 02027 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033510,,oreganus,49.312,-119.543,34,"gi|294513672|gb|HM033510.1| Junco hyemalis voucher BIOUG<CAN_:VLBO 2360-32958 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033511,,oreganus,48.317,-123.533,35,"gi|294513674|gb|HM033511.1| Junco hyemalis voucher BIOUG<CAN_:RPBO 2370 62714 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033512,,oreganus,48.317,-123.533,36,"gi|294513676|gb|HM033512.1| Junco hyemalis voucher BIOUG<CAN_:RPBO 2370 62647 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033513,,oreganus,48.317,-123.533,37,"gi|294513678|gb|HM033513.1| Junco hyemalis voucher BIOUG<CAN_:RPBO 2370 62712 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033514,,hyemalis,60.23,-132.91,38,"gi|294513680|gb|HM033514.1| Junco hyemalis voucher BIOUG<CAN_:TLBS 191141452 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033515,,hyemalis,44.16,-66.22,39,"gi|294513682|gb|HM033515.1| Junco hyemalis voucher BIOUG<CAN_:BIBS 221033852 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033516,,hyemalis,44.16,-66.22,40,"gi|294513684|gb|HM033516.1| Junco hyemalis voucher BIOUG<CAN_:BIBS 221033853 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033517,,hyemalis,44.16,-66.22,41,"gi|294513686|gb|HM033517.1| Junco hyemalis voucher BIOUG<CAN_:BIBS 221033851 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
