subspecies,PC1medians,PC2medians,nsongs
hyemalis,0.5239617,0.006535936,6
oreganus,-0.4548013,-0.06154641,36
aikeni,0.5107368,0.006535936,8
caniceps,-0.4548013,-0.06154641,9
dorsalis,0.5665256,0.009932586,10
mearnsi,-0.4665779,-0.06154641,8
