subspecies,ID_Num,latitude,longitude
hyemalis,105786,58.726413,-94.11058
hyemalis,105793,58.726413,-94.11058
hyemalis,105801,58.726413,-94.11058
hyemalis,105801,58.726413,-94.11058
hyemalis,106782,42.1666667,-74.2
hyemalis,106789,42.15,-74.1822222
hyemalis,106908,43.6083333,-74.95
hyemalis,106916,42.25,-76.65
hyemalis,106922,42.25,-76.65
hyemalis,106952,43.6577778,-74.8797222
hyemalis,107262,39.4166667,-77.2083333
oreganus,107854,47.299,-120.629
oreganus,107854,47.299,-120.629
oreganus,107854,47.299,-120.629
oreganus,110985,37.173211,-122.246546
oreganus,110986,37.173211,-122.246546
oreganus,110987,37.173211,-122.246546
unknown,111224,31.9059714,-109.15433
unknown,111224,31.9059714,-109.15433
unknown,111224,31.9059714,-109.15433
caniceps,111228,31.905971,-109.154328
mearnsi,111872,45.637801,-110.154844
hyemalis,112096,42.2633333,-76.6266667
hyemalis,112102,42.2633333,-76.6266667
hyemalis,112102,42.2633333,-76.6266667
hyemalis,112102,42.2633333,-76.6266667
hyemalis,112140,44.68,-67.415
hyemalis,112144,44.68,-67.415
hyemalis,112147,44.68,-67.415
hyemalis,112174,44.8516667,-67.185
oreganus,113826,39.698,-120.453
oreganus,113826,39.698,-120.453
oreganus,113826,39.698,-120.453
oreganus,118678,41.285622,-123.571769
oreganus,118692,41.285622,-123.571769
hyemalis,118730,61.28511,-149.75169
oreganus,120429,39.617617,-120.489956
oreganus,125069,35.5315,-115.5875
oreganus,125069,35.5315,-115.5875
oreganus,125069,35.5315,-115.5875
oreganus,125070,35.5315,-115.5875
oreganus,125070,35.5315,-115.5875
oreganus,125070,35.5315,-115.5875
oreganus,125071,34.186,-116.9004
oreganus,125071,34.186,-116.9004
oreganus,125071,34.186,-116.9004
oreganus,125072,36.548,-117.4878
oreganus,125072,36.548,-117.4878
oreganus,125072,36.548,-117.4878
oreganus,125073,37.6665,-119.6228
oreganus,125073,37.6665,-119.6228
oreganus,125073,37.6665,-119.6228
oreganus,125074,37.8762,-119.3527
oreganus,125074,37.8762,-119.3527
oreganus,125074,37.8762,-119.3527
oreganus,125075,37.3851,-118.1804
oreganus,125075,37.3851,-118.1804
oreganus,125075,37.3851,-118.1804
oreganus,125076,37.5307,-118.1639
oreganus,125076,37.5307,-118.1639
oreganus,125076,37.5307,-118.1639
oreganus,125077,36.1916,-117.0854
oreganus,125077,36.1916,-117.0854
oreganus,125077,36.1916,-117.0854
oreganus,125078,36.548,-117.4878
oreganus,125078,36.548,-117.4878
oreganus,125078,36.548,-117.4878
oreganus,125080,36.548,-117.4878
oreganus,125080,36.548,-117.4878
oreganus,125080,36.548,-117.4878
oreganus,125081,32.9823,-116.6008
oreganus,125081,32.9823,-116.6008
oreganus,125081,32.9823,-116.6008
oreganus,125299,37.173211,-122.246546
oreganus,125725,34.186,-116.9004
oreganus,125725,34.186,-116.9004
oreganus,125725,34.186,-116.9004
oreganus,126436,37.173211,-122.246546
oreganus,126556,38.016506,-122.548299
oreganus,126556,38.016506,-122.548299
oreganus,126556,38.016506,-122.548299
oreganus,129077,35.329,-120.4782
oreganus,129077,35.329,-120.4782
oreganus,129077,35.329,-120.4782
hyemalis,130810,65.8808167,-149.72065
hyemalis,130813,65.9386667,-149.8727167
hyemalis,130815,65.9386667,-149.8727167
hyemalis,132170,66.9306333,-149.8461333
hyemalis,132191,63.8820667,-145.0286333
hyemalis,132207,67.4916667,-149.8716667
hyemalis,132234,63.6497667,-145.88785
hyemalis,132237,63.6497667,-145.88785
hyemalis,133125,42.3743167,-76.6561
hyemalis,133140,42.3743167,-76.6561
hyemalis,134508,45.4596,-70.741
hyemalis,134508,45.4596,-70.741
hyemalis,134508,45.4596,-70.741
hyemalis,135546,36.1065,-82.1106
hyemalis,135546,36.1065,-82.1106
hyemalis,136380,64.4359667,-165.01075
hyemalis,136510,42.3743167,-76.6561
hyemalis,138202,64.813095,-148.242006
mearnsi,138522,44.951091,-110.720092
mearnsi,138704,46.0107,-112.8177
mearnsi,138704,46.0107,-112.8177
mearnsi,138704,46.0107,-112.8177
hyemalis,139056,35.5727,-83.4804
hyemalis,139056,35.5727,-83.4804
hyemalis,139056,35.5727,-83.4804
hyemalis,139495,42.4236244,-76.3329649
hyemalis,139495,42.4236244,-76.3329649
hyemalis,139495,42.4236244,-76.3329649
hyemalis,139623,35.6151,-83.4151
hyemalis,139623,35.6151,-83.4151
hyemalis,139623,35.6151,-83.4151
oreganus,141626,39.7166667,-120.4666667
oreganus,141628,39.7166667,-120.4666667
hyemalis,142588,46.8036,-89.7656
hyemalis,142589,46.8036,-89.7656
caniceps,146274,40.8483333,-105.625
caniceps,146289,40.8483333,-105.625
dorsalis,146607,35.1592,-111.6557
hyemalis,149906,41.1987,-73.8832
hyemalis,152586,42.9116,-88.4771
hyemalis,152586,42.9116,-88.4771
hyemalis,152586,42.9116,-88.4771
hyemalis,153395,41.1987,-73.8832
hyemalis,157670,62.703,-150.908
hyemalis,157670,62.703,-150.908
hyemalis,157670,62.703,-150.908
hyemalis,163391,42.322925,-76.334396
hyemalis,165249,42.6240097,-73.183751
hyemalis,167396,42.3339137,-76.3400573
caniceps,167551,40.071967,-105.517583
hyemalis,169037,44.50867,-74.43751
dorsalis,169518,34.6208,-112.5566
dorsalis,169519,34.6208,-112.5566
oreganus,169594,34.218,-117.698
oreganus,169594,34.218,-117.698
oreganus,169733,39.7008999,-120.4395425
oreganus,169733,39.7008999,-120.4395425
hyemalis,171280,40.7582,-73.6469
hyemalis,171280,40.7582,-73.6469
hyemalis,171280,40.7582,-73.6469
mearnsi,172141,43.8838889,-110.6338889
mearnsi,172148,43.8838889,-110.6338889
mearnsi,172157,43.8838889,-110.6336111
mearnsi,172169,43.8838889,-110.6336111
mearnsi,172186,44.3219444,-110.6102778
mearnsi,172192,44.3838889,-110.5358333
mearnsi,172193,44.3838889,-110.5358333
mearnsi,172193,44.3838889,-110.5358333
mearnsi,172193,44.3838889,-110.5358333
mearnsi,172197,44.7186111,-110.4844444
caniceps,172430,39.9581,-105.34
caniceps,172430,39.9581,-105.34
caniceps,172430,39.9581,-105.34
caniceps,172994,39.4025,-107.5255
caniceps,172994,39.4025,-107.5255
caniceps,172994,39.4025,-107.5255
hyemalis,174554,45.4083,-73.9331
hyemalis,174554,45.4083,-73.9331
hyemalis,174618,61.23902,-149.53915
hyemalis,174619,61.23902,-149.53915
hyemalis,174620,61.23806,-149.53696
hyemalis,174622,61.23863,-149.53572
hyemalis,174623,61.23863,-149.53572
hyemalis,177623,61.23863,-149.53572
hyemalis,177641,42.6652808,-76.3629627
hyemalis,177648,42.4284641,-76.3791203
hyemalis,177648,42.4284641,-76.3791203
hyemalis,177648,42.4284641,-76.3791203
oreganus,177875,39.704763,-120.4457223
oreganus,180038,39.6517939,-120.6005555
oreganus,181419,40.1009,-123.7957
oreganus,181471,38.0634,-119.2411
oreganus,181476,37.707283,-119.050858
hyemalis,183179,42.457717,-76.483553
oreganus,183582,48.4959,-123.4325
oreganus,183582,48.4959,-123.4325
oreganus,183582,48.4959,-123.4325
hyemalis,186312,47.677,-70.8267
hyemalis,186312,47.677,-70.8267
hyemalis,186312,47.677,-70.8267
oreganus,186494,37.959003,-119.154487
oreganus,186539,39.6421988,-120.5049992
hyemalis,186881,42.3406241,-76.337074
hyemalis,187312,44.2033041,-74.6619284
hyemalis,187312,44.2033041,-74.6619284
hyemalis,187351,42.3681202,-76.3816524
hyemalis,187351,42.3681202,-76.3816524
hyemalis,187352,42.3283089,-76.3382
oreganus,188355,52.7285,-117.6441
oreganus,188355,52.7285,-117.6441
oreganus,188356,52.7285,-117.6441
oreganus,188356,52.7285,-117.6441
oreganus,188356,52.7285,-117.6441
oreganus,188448,35.738,-118.5574
caniceps,188814,39.99733,-105.30316
hyemalis,190910,42.259721,-78.08965
caniceps,191709,39.043,-108.0676
caniceps,191716,39.043,-108.0676
caniceps,191737,40.3966,-105.5127
oreganus,192434,38.1394,-122.5931
oreganus,192451,38.4807,-122.145
oreganus,192494,38.1394,-122.5931
oreganus,192494,38.1394,-122.5931
oreganus,192496,38.1394,-122.5931
oreganus,192496,38.1394,-122.5931
oreganus,192496,38.1394,-122.5931
oreganus,193561,58.52276,-135.88806
oreganus,194989,59.40309,-135.93
oreganus,195416,56.0883,-129.3039
oreganus,195544,56.0883,-129.3039
hyemalis,195713,41.9989,-74.3874
oreganus,195781,53.9146,-121.9628
oreganus,195781,53.9146,-121.9628
oreganus,195781,53.9146,-121.9628
oreganus,195783,53.9146,-121.9628
oreganus,195783,53.9146,-121.9628
oreganus,195783,53.9146,-121.9628
oreganus,195804,53.0337,-119.2491
oreganus,195804,53.0337,-119.2491
oreganus,195804,53.0337,-119.2491
hyemalis,197108,48.4490162,-78.6998749
dorsalis,197963,32.4127189,-110.7305145
hyemalis,197983,42.335834,-76.3290596
hyemalis,198715,56.3854,-116.3349
hyemalis,198715,56.3854,-116.3349
hyemalis,198715,56.3854,-116.3349
hyemalis,199026,42.3180029,-76.478405
hyemalis,201153,42.3379912,-76.338501
hyemalis,201154,42.3379912,-76.338501
dorsalis,202851,35.894,-111.877
dorsalis,202885,34.412,-112.421
dorsalis,202886,34.412,-112.421
dorsalis,202887,34.475,-112.421
dorsalis,203606,34.475,-111.415
dorsalis,203607,34.475,-111.415
dorsalis,203608,34.475,-111.415
dorsalis,203624,33.918,-109.271
hyemalis,204590,42.4351,-76.305
caniceps,206096,37.7799,-108.0403
caniceps,206096,37.7799,-108.0403
caniceps,206096,37.7799,-108.0403
caniceps,206101,37.6994,-108.1782
caniceps,206101,37.6994,-108.1782
hyemalis,207795,63.7867,-151.6166
hyemalis,207795,63.7867,-151.6166
hyemalis,207795,63.7867,-151.6166
oreganus,210591,32.856,-116.43767
hyemalis,210605,42.32,-76.34016
hyemalis,210612,42.33405,-76.34016
hyemalis,213700,42.3238414,-76.3361835
hyemalis,213700,42.3238414,-76.3361835
hyemalis,213700,42.3238414,-76.3361835
oreganus,213749,34.346,-117.915
oreganus,213749,34.346,-117.915
oreganus,213749,34.346,-117.915
oreganus,213753,34.346,-117.915
oreganus,213753,34.346,-117.915
oreganus,213753,34.346,-117.915
oreganus,213755,34.346,-117.915
oreganus,213755,34.346,-117.915
oreganus,213755,34.346,-117.915
oreganus,213755,34.346,-117.915
mearnsi,214966,44.17,-107.252
mearnsi,214980,44.181,-107.259
mearnsi,214986,44.181,-107.259
mearnsi,214987,44.181,-107.259
hyemalis,216714,42.426647,-76.337689
hyemalis,216737,43.906664,-76.416082
hyemalis,216740,42.771084,-75.788776
hyemalis,216740,42.771084,-75.788776
hyemalis,216740,42.771084,-75.788776
hyemalis,216740,42.771084,-75.788776
hyemalis,216748,42.437166,-76.305802
hyemalis,216750,42.437166,-76.305802
hyemalis,216752,42.437166,-76.305802
hyemalis,216753,42.437166,-76.305802
hyemalis,216764,44.9291,-93.2602
oreganus,217648,39.6403,-120.6102
oreganus,217648,39.6403,-120.6102
oreganus,217655,42.32492,-76.3363
oreganus,217675,42.484284,-76.7923455
oreganus,217675,42.484284,-76.7923455
oreganus,219104,39.69796,-120.44998
oreganus,219104,39.69796,-120.44998
oreganus,219104,39.69796,-120.44998
