ID_Num,avg_silence_duration.ms.,avg_syllable_duration.ms.,avg_sylls_freq_range.Hz.,avg_sylls_lower_freq.Hz.,avg_sylls_upper_freq.Hz.,bout_duration.ms.,mean_syllable_stereotypy,num_syllable_per_bout_duration.1.ms.,num_syllables,num_unique_syllables,subspecies
22066,3.537810441,4.709959109,8.340644414,7.900747109,8.831581253,7.258412151,4.331765391,-4.95582699,2.302585093,0,oreganus
23007,3.072744434,3.884668122,7.879151474,8.116431915,8.690759427,7.417246679,4.364062893,-4.239192824,3.17805383,0,oreganus
26764,3.49216916,4.851759665,8.160837176,8.056220431,8.796563303,7.45944861,4.318072511,-5.061553396,2.397895273,0,hyemalis
27112,3.272441668,3.819350613,7.421272015,8.32347217,8.656540097,7.480079092,4.411846899,-4.261203248,3.218875825,0.693147181,hyemalis
30894,3.758288905,3.836760521,7.561135788,8.398532578,8.750808043,6.935492034,4.007470574,-4.450585343,2.48490665,1.386294361,hyemalis
31262,2.950860205,4.339339135,7.569098276,8.234155745,8.640837547,7.383445832,4.058432673,-4.550232481,2.833213344,0.693147181,hyemalis
35301,3.350288573,3.616324277,7.591407766,8.359578251,8.733756929,7.256398051,4.233912922,-4.165355569,3.091042453,0.693147181,oreganus
36934,3.358499732,3.946347748,7.593565669,8.262715872,8.66888471,7.415528631,4.335502836,-4.371006223,3.044522438,0.693147181,hyemalis
38508,3.729701449,4.151628945,8.318670934,8.300534416,8.997487259,7.681384631,4.286235958,-4.636862215,3.044522438,0,hyemalis
38510,3.737669618,4.556076946,7.811786157,8.137120649,8.673446921,7.291180338,4.277989511,-4.893285019,2.397895273,0.693147181,hyemalis
42250,3.216969247,3.745092599,7.781882962,8.192175567,8.693894697,7.235344642,4.388971759,-4.190822181,3.044522438,0,oreganus
44381,3.336854804,3.91085273,7.975644961,8.074765207,8.712533665,7.282924805,4.442431147,-4.338485805,2.944438979,0,oreganus
44556,3.189503747,3.967926468,7.940294406,8.029712183,8.671811598,7.218502624,4.459543942,-4.328130898,2.890371758,0,oreganus
44603,3.122574678,3.474927354,8.040658157,8.07622676,8.744925389,7.249429382,4.400319439,-3.991332861,3.258096538,0,oreganus
44616,3.102772051,4.255525148,7.917937499,8.25005243,8.784306993,7.406893826,4.40782841,-4.516522058,2.890371758,0,oreganus
44616,3.073737906,4.263538463,7.949649012,8.229117074,8.785710799,7.461275428,4.360715229,-4.516836467,2.944438979,0.693147181,oreganus
44616,3.220235445,4.23402982,7.717150855,8.25242018,8.706236744,7.233741894,4.109260557,-4.525691668,2.708050201,0.693147181,oreganus
44910,3.312741961,4.369246908,8.188429181,7.921756285,8.750317181,7.35832526,4.345092247,-4.650275089,2.708050201,0,oreganus
45292,3.426094933,4.052321572,7.947074093,8.182973776,8.758379614,7.351423081,4.308652889,-4.461051314,2.890371758,0,oreganus
